Incident_ID,Date,User,Threat_Type,Severity,Status,Country,Device,Source,Response_Time_Minutes
1,2025-11-24,user58,Phishing,High,Closed,Germany,Desktop,Identity Provider,109
2,2025-12-13,user380,Malware,Medium,Open,India,Laptop,Endpoint,243
3,2025-09-16,user309,Phishing,Medium,Escalated,Germany,Mobile,Web Gateway,289
4,2026-02-19,user446,Phishing,High,Closed,Singapore,Server,Firewall,164
5,2025-04-21,user491,Insider Threat,Low,Escalated,USA,Server,Firewall,623
6,2025-05-16,user414,Phishing,High,Open,Singapore,Laptop,Web Gateway,305
7,2025-11-18,user317,Insider Threat,Medium,Open,India,Desktop,Firewall,86
8,2025-04-30,user444,Malware,Medium,Escalated,Australia,Desktop,Firewall,368
9,2025-04-18,user344,DDoS,High,Open,Japan,Desktop,Web Gateway,255
10,2025-03-25,user237,Data Exfiltration,Low,Closed,Australia,Laptop,Endpoint,37
11,2026-02-17,user162,Data Exfiltration,Low,Closed,Japan,Server,Endpoint,676
12,2025-09-13,user203,Brute Force,Low,Closed,Germany,Cloud VM,Web Gateway,274
13,2026-01-18,user300,Data Exfiltration,High,Escalated,Australia,Desktop,Endpoint,526
14,2025-09-10,user47,Phishing,High,Closed,UK,Mobile,Web Gateway,70
15,2025-07-17,user196,Brute Force,Medium,Open,USA,Cloud VM,Firewall,661
16,2025-06-24,user58,DDoS,Medium,Escalated,India,Server,Web Gateway,187
17,2025-09-17,user468,Malware,High,Investigating,Netherlands,Cloud VM,Endpoint,161
18,2025-07-11,user391,Ransomware,Medium,Open,Japan,Server,SIEM,24
19,2025-02-27,user476,Insider Threat,High,Investigating,Germany,Laptop,Endpoint,585
20,2025-02-10,user44,Brute Force,High,Closed,UK,Mobile,Web Gateway,174
21,2025-05-16,user271,Data Exfiltration,Critical,Closed,Canada,Mobile,Identity Provider,670
22,2025-07-11,user225,Brute Force,Low,Closed,USA,Server,Email,607
23,2025-10-11,user118,Credential Attack,Low,Open,Germany,Laptop,Email,343
24,2025-02-06,user264,Credential Attack,Low,Escalated,Germany,Cloud VM,Endpoint,589
25,2025-10-23,user243,Credential Attack,High,Escalated,Germany,Laptop,Email,679
26,2025-08-09,user182,Data Exfiltration,Medium,Open,USA,Laptop,SIEM,352
27,2026-02-14,user442,Malware,Low,Closed,Netherlands,Mobile,Endpoint,437
28,2025-04-04,user143,Brute Force,Low,Open,UAE,Cloud VM,Email,56
29,2025-11-30,user277,Phishing,Critical,Closed,UK,Mobile,SIEM,497
30,2025-04-20,user443,Data Exfiltration,Critical,Closed,Singapore,Laptop,SIEM,276
31,2026-02-06,user402,Brute Force,Low,Escalated,UK,Desktop,Firewall,227
32,2025-01-30,user297,Phishing,High,Open,India,Cloud VM,SIEM,519
33,2025-09-29,user81,Phishing,Critical,Open,UK,Laptop,Web Gateway,74
34,2025-12-12,user442,Credential Attack,Medium,Closed,Japan,Cloud VM,Email,639
35,2025-02-11,user215,Insider Threat,Critical,Closed,Australia,Desktop,Firewall,410
36,2025-03-09,user344,DDoS,Medium,Open,India,Mobile,Web Gateway,581
37,2025-02-21,user38,Credential Attack,Medium,Closed,Australia,Laptop,Endpoint,383
38,2025-05-26,user81,Brute Force,High,Investigating,Japan,Cloud VM,Email,688
39,2026-02-23,user284,DDoS,Critical,Open,UK,Server,Email,114
40,2026-01-16,user284,Ransomware,Low,Closed,Australia,Desktop,Identity Provider,654
41,2025-05-16,user259,Brute Force,Low,Open,USA,Mobile,Firewall,50
42,2025-01-02,user171,Ransomware,Medium,Investigating,UK,Mobile,Web Gateway,442
43,2025-10-15,user5,Malware,Low,Closed,Netherlands,Laptop,Firewall,601
44,2025-10-10,user76,Data Exfiltration,Low,Investigating,Australia,Laptop,Firewall,220
45,2025-12-16,user128,Malware,Medium,Escalated,Japan,Desktop,Endpoint,171
46,2026-02-14,user416,Ransomware,High,Open,UK,Server,SIEM,690
47,2026-01-12,user416,Credential Attack,Low,Open,Singapore,Laptop,SIEM,232
48,2025-04-13,user419,Brute Force,Low,Closed,Germany,Laptop,Identity Provider,202
49,2025-07-24,user169,DDoS,High,Investigating,Australia,Cloud VM,SIEM,700
50,2025-10-02,user170,Phishing,Low,Investigating,UK,Cloud VM,Firewall,44
51,2025-02-25,user306,Data Exfiltration,Low,Investigating,Singapore,Cloud VM,Web Gateway,123
52,2025-07-17,user461,Credential Attack,Low,Escalated,India,Cloud VM,Web Gateway,708
53,2026-01-04,user482,Credential Attack,Medium,Open,Australia,Cloud VM,Firewall,684
54,2025-03-05,user369,DDoS,Medium,Escalated,Australia,Mobile,Identity Provider,307
55,2025-10-11,user66,Credential Attack,Medium,Escalated,UK,Cloud VM,Web Gateway,313
56,2025-07-27,user281,Phishing,Low,Closed,Singapore,Cloud VM,Web Gateway,675
57,2025-06-14,user239,Brute Force,Medium,Closed,Netherlands,Mobile,Identity Provider,178
58,2025-12-04,user44,DDoS,Medium,Investigating,USA,Desktop,Identity Provider,322
59,2025-04-26,user413,Credential Attack,Low,Open,Germany,Mobile,Web Gateway,79
60,2025-08-22,user213,Credential Attack,High,Escalated,UAE,Mobile,Endpoint,156
61,2025-12-02,user353,Phishing,High,Open,Singapore,Desktop,Endpoint,717
62,2025-09-23,user238,Phishing,Medium,Open,UAE,Desktop,SIEM,688
63,2025-09-29,user287,Insider Threat,Critical,Escalated,Japan,Cloud VM,SIEM,566
64,2025-08-17,user460,Ransomware,High,Escalated,UAE,Server,Endpoint,657
